timestamp	equity	avail_balance	cash
2018-11-21T18:15:01.767Z	16.01464714	10.78091307	2056.08851701
2018-11-21T18:30:01.779Z	16.12636603	10.78091307	2061.98166606
2018-11-21T18:45:01.897Z	15.99088648	10.78091307	2054.82891268
2018-11-21T19:00:01.833Z	16.21549757	10.78091307	2067.08676823
2018-11-21T19:15:01.851Z	16.43311356	10.78091307	2077.91791032
2018-11-21T19:30:01.882Z	16.2984897	10.78091307	2070.96759373
2018-11-21T19:45:01.930Z	16.39857011	10.78091307	2076.14096878
2018-11-21T20:00:01.909Z	16.31454065	10.78091307	2071.79983168
2018-11-21T20:15:01.932Z	16.27553033	10.78091307	2069.7754676
2018-11-21T20:30:01.956Z	15.92723446	10.78091307	2051.44372568
2018-11-21T20:45:02.015Z	15.96018636	10.78091307	2053.19817428
2018-11-21T21:00:02.023Z	16.05526332	10.78091307	2057.2893313
2018-11-21T21:15:02.048Z	16.04589599	10.78091307	2057.74174765
2018-11-21T21:30:02.054Z	16.13536024	10.78091307	2062.4540166
2018-11-21T21:45:02.101Z	15.83493134	10.78091307	2046.50652638
2018-11-21T22:00:02.086Z	15.96505141	10.78091307	2053.45684246
2018-11-21T22:15:02.127Z	15.60617277	10.78091307	2035.13856624
2018-11-21T22:30:01.405Z	15.53569394	10.78091307	2030.26662685
2018-11-21T22:45:01.376Z	15.64186132	10.78091307	2036.0698043
2018-11-21T23:00:01.409Z	15.68158065	10.78091307	2038.22912656
2018-11-21T23:15:01.445Z	15.40415792	10.78091307	2023.01265548
2018-11-21T23:30:01.494Z	15.5051929	10.78091307	2028.07923132
2018-11-21T23:45:01.456Z	15.30227208	10.78091307	2017.34443512
2018-11-22T00:00:01.645Z	15.46864246	10.78091307	2026.57778597
2018-11-22T00:15:01.603Z	15.44500942	10.78091307	2025.27319523
2018-11-22T00:30:01.510Z	15.60843917	10.78091307	2034.24787703
2018-11-22T00:45:01.586Z	15.50008209	10.78091307	2028.30974213
2018-11-22T01:00:01.583Z	15.53221044	10.78091307	2030.88311166
2018-11-22T01:15:01.699Z	15.44562009	10.78091307	2025.3069343
2018-11-22T01:30:01.616Z	15.39178492	10.78091307	2022.32662064
2018-11-22T01:45:01.859Z	15.28235027	10.78091307	2016.23103582
2018-11-22T02:00:01.685Z	15.19157295	10.78091307	2011.13638499
2018-11-22T02:15:01.728Z	15.35473476	10.78091307	2020.26851658
2018-11-22T02:30:01.717Z	15.38246206	10.78091307	2021.80928332
2018-11-22T02:45:01.711Z	15.36970438	10.78091307	2021.10075627
2018-11-22T03:00:01.750Z	15.3383684	10.78091307	2019.35755333
2018-11-22T03:15:01.764Z	15.48945783	10.78091307	2027.72492453
2018-11-22T03:30:01.894Z	15.4865989	10.78091307	2027.56747438
2018-11-22T03:45:01.803Z	15.43809042	10.78091307	2024.87537758
2018-11-22T04:00:01.888Z	15.37962596	10.78091307	2021.65183244
2018-11-22T04:15:02.044Z	15.33332112	10.78091307	2019.07639176
2018-11-22T04:30:01.873Z	15.34200363	10.78091307	2019.55998984
2018-11-22T04:45:01.879Z	15.51132847	10.78091307	2028.92829786
2018-11-22T05:00:01.932Z	15.48904938	10.78091307	2027.70243243
2018-11-22T05:15:01.939Z	15.39178492	10.78091307	2021.41850533
2018-11-22T05:30:02.015Z	15.45071012	10.78091307	2025.58809673
2018-11-22T05:45:02.063Z	15.46211882	10.78091307	2026.21789865
2018-11-22T06:00:02.113Z	15.37861322	10.78091307	2021.59560084
2018-11-22T06:15:02.042Z	15.50560185	10.78091307	2028.61339564
2018-11-22T06:30:02.065Z	15.52033238	10.78091307	2029.42314168
2018-11-22T06:45:02.075Z	15.53221044	10.78091307	2030.07543672
2018-11-22T07:00:02.123Z	15.72765265	10.78091307	2040.72584195
2018-11-22T07:15:02.221Z	15.87186128	10.78091307	2047.97800468
2018-11-22T07:30:02.174Z	15.7492902	10.78091307	2041.89547443
2018-11-22T07:45:02.210Z	15.65860361	10.78091307	2036.98076781
2018-11-22T08:00:02.301Z	15.66749997	10.78091307	2038.1850711
2018-11-22T08:15:02.223Z	15.76345661	10.78091307	2042.66023444
2018-11-22T08:30:02.226Z	15.7388832	10.78091307	2041.33315104
2018-11-22T08:45:02.290Z	15.66770693	10.78091307	2037.4756123
2018-11-22T09:00:02.377Z	15.66977673	10.78091307	2037.58807753
2018-11-22T09:15:02.321Z	15.72495039	10.78091307	2040.57963726
2018-11-22T09:30:01.355Z	15.97605708	10.78091307	2054.04165878
2018-11-22T09:45:01.370Z	16.00870309	10.78091307	2055.70958119
2018-11-22T10:00:01.453Z	16.28375664	10.78091307	2070.20283291
2018-11-22T10:15:01.376Z	16.05292088	10.78091307	2058.11288018
